model_key,raw_source_sheet,raw_source_span,orderable_rpo,ref_only_rpo,source_rpo,source_option_description,source_disclosure_raw,raw_status_summary,normalized_status_summary,suggested_option_id,suggested_section_id,suggested_display_order,suggested_copy_from,final_option_id,final_option_name,final_description,final_detail_raw,final_section_id,final_selectable,final_display_order,final_display_behavior,review_status,active,notes
z06,z06_standard_raw,z06_standard_raw:15-15,,,,Air filtration system with pollen filter,,1lz_h07=S; 2lz_h07=S; 3lz_h07=S; 1lz_h67=S; 2lz_h67=S; 3lz_h67=S,1lz_h07=standard; 2lz_h07=standard; 3lz_h07=standard; 1lz_h67=standard; 2lz_h67=standard; 3lz_h67=standard,opt_003,,,,,,,,,,,,needs_section_review,False,
z06,z06_standard_raw,z06_standard_raw:23-23,,,,"Console, floor, 2 cup holders, auxiliary power outlet, 3 USB ports (2 type-C, 1 type-A), passenger grab handle and lockable storage",,1lz_h07=S; 2lz_h07=S; 3lz_h07=S; 1lz_h67=S; 2lz_h67=S; 3lz_h67=S,1lz_h07=standard; 2lz_h07=standard; 3lz_h07=standard; 1lz_h67=standard; 2lz_h67=standard; 3lz_h67=standard,opt_008,,,,,,,,,,,,needs_section_review,False,
z06,z06_standard_raw,z06_standard_raw:24-24,,,,"Cruise control, electronic with set and resume speed",,1lz_h07=S; 2lz_h07=S; 3lz_h07=S; 1lz_h67=S; 2lz_h67=S; 3lz_h67=S,1lz_h07=standard; 2lz_h07=standard; 3lz_h07=standard; 1lz_h67=standard; 2lz_h67=standard; 3lz_h67=standard,opt_009,,,,,,,,,,,,needs_section_review,False,
z06,z06_standard_raw,z06_standard_raw:26-26,,,,"Door locks, power programmable with lockout protection",,1lz_h07=S; 2lz_h07=S; 3lz_h07=S; 1lz_h67=S; 2lz_h67=S; 3lz_h67=S,1lz_h07=standard; 2lz_h07=standard; 3lz_h07=standard; 1lz_h67=standard; 2lz_h67=standard; 3lz_h67=standard,opt_011,,,,,,,,,,,,needs_section_review,False,
z06,z06_standard_raw,z06_standard_raw:27-27,,,,"Floor mats, carpeted",,1lz_h07=S; 2lz_h07=S; 3lz_h07=S; 1lz_h67=S; 2lz_h67=S; 3lz_h67=S,1lz_h07=standard; 2lz_h07=standard; 3lz_h07=standard; 1lz_h67=standard; 2lz_h67=standard; 3lz_h67=standard,opt_012,,,,,,,,,,,,needs_section_review,False,
z06,z06_standard_raw,z06_standard_raw:29-29,,,,"Hatch release, push button open",,1lz_h07=S; 2lz_h07=S; 3lz_h07=S; 1lz_h67=--; 2lz_h67=--; 3lz_h67=--,1lz_h07=standard; 2lz_h07=standard; 3lz_h07=standard; 1lz_h67=unavailable; 2lz_h67=unavailable; 3lz_h67=unavailable,opt_014,,,,,,,,,,,,needs_section_review,False,
z06,z06_standard_raw,z06_standard_raw:31-31,,,,"Keyless Open and Start, includes 2 remote transmitters that enable automatic door unlock and open by touching door switch",,1lz_h07=S; 2lz_h07=S; 3lz_h07=S; 1lz_h67=S; 2lz_h67=S; 3lz_h67=S,1lz_h07=standard; 2lz_h07=standard; 3lz_h07=standard; 1lz_h67=standard; 2lz_h67=standard; 3lz_h67=standard,opt_016,,,,,,,,,,,,needs_section_review,False,
z06,z06_standard_raw,z06_standard_raw:33-33,,,,"Lighting, interior, theater dimming",,1lz_h07=S; 2lz_h07=S; 3lz_h07=S; 1lz_h67=S; 2lz_h67=S; 3lz_h67=S,1lz_h07=standard; 2lz_h07=standard; 3lz_h07=standard; 1lz_h67=standard; 2lz_h67=standard; 3lz_h67=standard,opt_018,,,,,,,,,,,,needs_section_review,False,
z06,z06_standard_raw,z06_standard_raw:47-50,,,,"OnStar Basics (OnStar Fleet Basics for Fleet) Drive with confidence and convenience using core OnStar services, featuring built-in voice assistance, real-time navigation, and access to audio streaming apps. With your vehicle mobile app, you can seamlessly manage your vehicle by sending commands and enjoy peace of mind knowing Automatic Crash Response can connect you to help if you’re in need.","Requires (UE1) OnStar. OnStar Basics is standard for 8 years; working electrical system, cell reception and GPS signal required. OnStar links to emergency services. Service coverage varies with conditions and location. Service availability, features and functionality vary by device and software version. Subject to user terms. See onstar.com for details and limitations. Removed with a ship-to of Guam, Puerto Rico or the Virgin Islands.",1lz_h07=S1; 2lz_h07=S1; 3lz_h07=S1; 1lz_h67=S1; 2lz_h67=S1; 3lz_h67=S1,1lz_h07=standard; 2lz_h07=standard; 3lz_h07=standard; 1lz_h67=standard; 2lz_h67=standard; 3lz_h67=standard,opt_023,,,,,,,,,,,,needs_section_review,False,
z06,z06_standard_raw,z06_standard_raw:53-53,,,,Remote vehicle starter system,,1lz_h07=S; 2lz_h07=S; 3lz_h07=S; 1lz_h67=S; 2lz_h67=S; 3lz_h67=S,1lz_h07=standard; 2lz_h07=standard; 3lz_h07=standard; 1lz_h67=standard; 2lz_h67=standard; 3lz_h67=standard,opt_026,,,,,,,,,,,,needs_section_review,False,
z06,z06_standard_raw,z06_standard_raw:64-64,,,,"Steering wheel controls, audio, voice recognition, cruise and Driver Information Center",,1lz_h07=S; 2lz_h07=S; 3lz_h07=S; 1lz_h67=S; 2lz_h67=S; 3lz_h67=S,1lz_h07=standard; 2lz_h07=standard; 3lz_h07=standard; 1lz_h67=standard; 2lz_h67=standard; 3lz_h67=standard,opt_034,,,,,,,,,,,,needs_section_review,False,
z06,z06_standard_raw,z06_standard_raw:66-66,,,,"Theft-deterrent system, vehicle, push button start, immobilizer and audible visual alarm",,1lz_h07=S; 2lz_h07=S; 3lz_h07=S; 1lz_h67=S; 2lz_h67=S; 3lz_h67=S,1lz_h07=standard; 2lz_h07=standard; 3lz_h07=standard; 1lz_h67=standard; 2lz_h67=standard; 3lz_h67=standard,opt_036,,,,,,,,,,,,needs_section_review,False,
z06,z06_standard_raw,z06_standard_raw:67-67,,,,"Trunk release, push button open",,1lz_h07=--; 2lz_h07=--; 3lz_h07=--; 1lz_h67=S; 2lz_h67=S; 3lz_h67=S,1lz_h07=unavailable; 2lz_h07=unavailable; 3lz_h07=unavailable; 1lz_h67=standard; 2lz_h67=standard; 3lz_h67=standard,opt_037,,,,,,,,,,,,needs_section_review,False,
z06,z06_standard_raw,z06_standard_raw:69-69,,,,"Visors, driver and passenger illuminated vanity mirrors, covered",,1lz_h07=S; 2lz_h07=S; 3lz_h07=S; 1lz_h67=S; 2lz_h67=S; 3lz_h67=S,1lz_h07=standard; 2lz_h07=standard; 3lz_h07=standard; 1lz_h67=standard; 2lz_h67=standard; 3lz_h67=standard,opt_039,,,,,,,,,,,,needs_section_review,False,
z06,z06_standard_raw,z06_standard_raw:70-70,,,,"Antenna, integral front and rear",,1lz_h07=S; 2lz_h07=S; 3lz_h07=S; 1lz_h67=S; 2lz_h67=S; 3lz_h67=S,1lz_h07=standard; 2lz_h07=standard; 3lz_h07=standard; 1lz_h67=standard; 2lz_h67=standard; 3lz_h67=standard,opt_040,,,,,,,,,,,,needs_section_review,False,
z06,z06_standard_raw,z06_standard_raw:71-71,,,,"Windows, power with driver and passenger Express-Down/Up",,1lz_h07=S; 2lz_h07=S; 3lz_h07=S; 1lz_h67=S; 2lz_h67=S; 3lz_h67=S,1lz_h07=standard; 2lz_h07=standard; 3lz_h07=standard; 1lz_h67=standard; 2lz_h67=standard; 3lz_h67=standard,opt_041,,,,,,,,,,,,needs_section_review,False,
z06,z06_standard_raw,z06_standard_raw:76-76,,,,Daytime running lamps,,1lz_h07=S; 2lz_h07=S; 3lz_h07=S; 1lz_h67=S; 2lz_h67=S; 3lz_h67=S,1lz_h07=standard; 2lz_h07=standard; 3lz_h07=standard; 1lz_h67=standard; 2lz_h67=standard; 3lz_h67=standard,opt_046,,,,,,,,,,,,needs_section_review,False,
z06,z06_standard_raw,z06_standard_raw:82-82,,,,"Glass, Solar-Ray light-tinted",,1lz_h07=S; 2lz_h07=S; 3lz_h07=S; 1lz_h67=S; 2lz_h67=S; 3lz_h67=S,1lz_h07=standard; 2lz_h07=standard; 3lz_h07=standard; 1lz_h67=standard; 2lz_h67=standard; 3lz_h67=standard,opt_048,,,,,,,,,,,,needs_section_review,False,
z06,z06_standard_raw,z06_standard_raw:89-89,,,,"Active handling stability control, improves traction and enhances vehicle stability",,1lz_h07=S; 2lz_h07=S; 3lz_h07=S; 1lz_h67=S; 2lz_h67=S; 3lz_h67=S,1lz_h07=standard; 2lz_h07=standard; 3lz_h07=standard; 1lz_h67=standard; 2lz_h67=standard; 3lz_h67=standard,opt_052,,,,,,,,,,,,needs_section_review,False,
z06,z06_standard_raw,z06_standard_raw:97-97,,,,NEW!Intersection Automatic Emergency Braking,,1lz_h07=S; 2lz_h07=S; 3lz_h07=S; 1lz_h67=S; 2lz_h67=S; 3lz_h67=S,1lz_h07=standard; 2lz_h07=standard; 3lz_h07=standard; 1lz_h67=standard; 2lz_h67=standard; 3lz_h67=standard,opt_060,,,,,,,,,,,,needs_section_review,False,
z06,z06_standard_raw,z06_standard_raw:114-114,,,,"Frame, aluminum structure",,1lz_h07=S; 2lz_h07=S; 3lz_h07=S; 1lz_h67=S; 2lz_h67=S; 3lz_h67=S,1lz_h07=standard; 2lz_h07=standard; 3lz_h07=standard; 1lz_h67=standard; 2lz_h67=standard; 3lz_h67=standard,opt_071,,,,,,,,,,,,needs_section_review,False,
z06,z06_standard_raw,z06_standard_raw:121-121,,,,Oil life monitoring system,,1lz_h07=S; 2lz_h07=S; 3lz_h07=S; 1lz_h67=S; 2lz_h67=S; 3lz_h67=S,1lz_h07=standard; 2lz_h07=standard; 3lz_h07=standard; 1lz_h67=standard; 2lz_h67=standard; 3lz_h67=standard,opt_075,,,,,,,,,,,,needs_section_review,False,
z06,z06_standard_raw,z06_standard_raw:124-124,,,,"Steering, power, electric, speed-sensitive, rack-and-pinion, variable ratio",,1lz_h07=S; 2lz_h07=S; 3lz_h07=S; 1lz_h67=S; 2lz_h67=S; 3lz_h67=S,1lz_h07=standard; 2lz_h07=standard; 3lz_h07=standard; 1lz_h67=standard; 2lz_h67=standard; 3lz_h67=standard,opt_078,,,,,,,,,,,,needs_section_review,False,
z06,z06_standard_raw,z06_standard_raw:126-126,,,,"Traction control, all-speed",,1lz_h07=S; 2lz_h07=S; 3lz_h07=S; 1lz_h67=S; 2lz_h67=S; 3lz_h67=S,1lz_h07=standard; 2lz_h07=standard; 3lz_h07=standard; 1lz_h67=standard; 2lz_h67=standard; 3lz_h67=standard,opt_080,,,,,,,,,,,,needs_section_review,False,
z06,z06_standard_raw,z06_standard_raw:127-127,,,,"Wipers, front intermittent",,1lz_h07=S; 2lz_h07=S; 3lz_h07=S; 1lz_h67=S; 2lz_h67=S; 3lz_h67=S,1lz_h07=standard; 2lz_h07=standard; 3lz_h07=standard; 1lz_h67=standard; 2lz_h67=standard; 3lz_h67=standard,opt_081,,,,,,,,,,,,needs_section_review,False,
